@relation 'epit.train-weka.filters.unsupervised.attribute.Remove-R13,56-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.Remove-R1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute 0.241ProtFP2.1+0.239KF2.1+0.233T1.1+0.233ST1.1+0.232VHSE3.1... numeric
@attribute -0.294Z1.1+0.258VHSE1.1+0.241MSWHIM2.1-0.236BLOSUM1.1+0.234ProtFP1.1... numeric
@attribute 0.287ProtFP3.1+0.274VHSE4.1+0.239BLOSUM7.1-0.239T3.1+0.236Z4.1... numeric
@attribute 0.292ProtFP6.1-0.248VHSE8.1+0.236BLOSUM6.1-0.232Z3.1-0.231F5.1... numeric
@attribute 0.331ProtFP4.1-0.282KF8.1-0.238BLOSUM8.1-0.231ST3.1-0.227MSWHIM1.1... numeric
@attribute -0.378ProtFP5.1-0.287KF3.1-0.235BLOSUM4.1-0.212KF1.1+0.205Z5.1... numeric
@attribute '-0.453ProtFP7.1+0.314KF6.1+0.29 BLOSUM10.1+0.264BLOSUM9.1+0.257ST7.1...' numeric
@attribute 0.455ProtFP8.1-0.394BLOSUM10.1+0.329BLOSUM9.1+0.317KF10.1-0.274KF6.1... numeric
@attribute -0.466KF10.1+0.319ProtFP8.1+0.304BLOSUM9.1-0.252ST7.1+0.235MSWHIM2.1... numeric
@attribute '0.373Z5.1-0.317ST4.1-0.264KF7.1-0.264ProtFP8.1+0.26 BLOSUM4.1...' numeric
@attribute -0.348BLOSUM10.1-0.28BLOSUM9.1-0.241ProtFP7.1+0.239T4.1+0.236KF5.1... numeric
@attribute -0.613KF5.1+0.315F1.1-0.273KF10.1+0.265KF7.1-0.211BLOSUM9.1... numeric
@attribute Class {Negative,Positive}

@data
2.069405,-0.630707,-1.354967,-0.942628,1.683461,1.960761,0.957085,-3.08649,1.249964,0.213144,0.990952,-0.149817,Negative
0.643594,-4.982308,-2.078984,-6.520983,-0.149597,-4.494949,1.863035,-0.113873,-1.78468,-0.28308,1.246987,-0.530644,Negative
-6.155113,1.897959,1.723692,0.629515,-2.238334,0.726374,-1.318126,1.323753,0.684129,-0.460065,-0.607461,-0.991021,Negative
-1.332773,-3.478323,0.264283,-2.844886,-4.956488,0.300562,2.369945,1.629058,-2.596928,-2.381171,3.190857,-0.659172,Negative
-0.70286,-1.345576,-0.069847,-4.247792,0.870904,0.489604,4.514006,-0.220667,-3.018313,2.968001,-1.357036,-1.048046,Negative
-0.854069,4.036812,-4.277092,0.400688,-0.998443,0.917891,0.790579,-1.994521,-1.574076,0.708858,-1.434079,-1.196312,Negative
-1.310345,4.32232,-1.192563,-3.70806,-1.616817,-0.264459,-2.593507,-2.073833,-1.609739,1.020497,-0.687427,0.41734,Negative
4.121292,0.550286,-1.912249,0.834345,0.812543,-1.136231,0.789752,-0.219138,1.170211,-0.614322,0.206195,0.424611,Positive
-3.987436,1.757313,-2.836753,1.154942,-0.714093,-0.895049,2.067833,2.117372,0.576681,1.024073,0.275858,0.730019,Negative
-0.408955,2.005418,1.48532,-2.356941,-1.538199,-0.758048,0.311179,3.032221,2.666935,0.606091,-0.309195,-0.640121,Negative
-1.915935,0.1082,-4.641982,-0.595947,-0.381816,-0.207167,-0.111728,0.82121,-0.56345,0.866961,1.733181,0.077764,Negative
2.486655,-0.80026,-2.269091,0.883703,-1.821222,0.465817,-2.455124,-0.650558,0.317788,-0.541747,-0.192868,-0.733204,Negative
13.800284,-8.991314,5.750626,3.011007,3.76348,1.393587,0.437033,1.397182,-2.622952,-1.277571,-2.191785,2.210082,Positive
-0.040141,-4.553067,-3.958848,-3.243088,-2.248302,-0.454376,-0.561869,-0.919254,-0.677596,0.239223,2.026334,0.588423,Negative
-1.138437,4.878118,0.90124,-0.992958,1.519257,0.035402,-3.200719,-1.933667,0.133885,-0.478411,-1.365942,-1.439672,Negative
4.390773,-11.997579,1.574471,-2.223793,-1.96767,1.967577,-1.889062,0.269367,-1.59786,-0.778638,0.882601,0.038164,Negative
-0.58446,1.184132,-3.340757,-1.397349,1.587411,-1.312905,-2.828971,-0.329005,-0.121052,0.063695,0.477812,0.092225,Positive
8.788748,-10.570198,-0.504354,-2.523774,-1.618861,3.85543,0.752436,2.446921,-1.639407,-1.452092,-1.299427,0.431113,Negative
-6.073789,6.523362,8.148125,-6.277968,-0.415671,1.595237,-0.868572,-1.339713,-1.923776,-1.291061,0.45536,0.079083,Negative
4.823932,2.173564,-0.246992,-3.250757,-2.387985,0.818387,-2.148808,1.616391,0.005666,-0.298534,-0.773386,-0.283899,Positive
-1.637922,-3.646644,-3.521924,-1.746387,-0.518781,-0.87788,2.482219,-0.513107,-1.984855,-1.334299,0.737259,-0.575642,Negative
1.289305,1.68441,0.22764,-1.603712,-4.269443,-2.756874,3.87194,0.525751,-0.570123,-1.446211,0.862019,-0.920599,Positive
-8.808041,-3.786571,8.895037,0.339832,-6.877371,-2.016819,0.348773,-2.705789,2.000766,0.482727,-1.948368,0.3467,Positive
1.447591,-0.777879,-3.57068,-1.238031,0.096595,0.598282,3.030351,-1.512852,-1.193116,1.657983,0.075962,-1.468581,Negative
1.017267,2.416526,-0.721253,-0.809894,-1.9057,0.522729,0.052328,0.993485,-0.112279,-0.240874,1.363931,0.837139,Positive
0.79769,-5.500093,-4.358346,-4.16517,-3.73473,-1.427388,-0.998518,2.024096,0.811328,-0.35169,-0.964605,-0.323157,Negative
7.921464,1.986409,1.77699,0.52264,-3.02278,-1.638045,3.970338,-0.347925,0.627616,2.902335,-0.667486,1.527725,Negative
3.297587,0.561243,0.990332,-2.220868,-1.040698,-4.367399,1.607042,2.880147,0.368609,0.503367,-0.977831,0.979291,Positive
-1.443397,2.063724,-2.538258,-0.200668,-3.597555,-0.049435,-1.710306,-1.446334,0.031693,-0.87173,-1.630345,-0.071812,Negative
-4.347149,-0.206202,-0.218207,-0.355068,-0.786992,0.325237,2.592875,3.125321,-0.056907,0.855534,1.132994,-0.521448,Positive
4.503812,0.30498,-2.734239,0.316203,-1.124845,1.32671,-1.292478,0.241997,0.8705,0.260955,0.631326,0.133826,Negative
1.633296,3.539996,0.915135,4.721184,0.839731,-1.290994,0.663852,0.416668,0.453567,-0.314407,0.445783,-0.517033,Negative
1.536168,2.604892,-2.95091,-2.096721,-2.476134,0.52148,1.610145,0.247978,-2.450754,-0.539446,2.214147,0.409869,Negative
4.158695,-3.266526,-4.870971,-3.662524,-3.139565,-1.012031,-3.070598,-0.946553,-0.43808,0.481981,1.66356,0.918913,Negative
-1.640352,-0.326318,0.812406,2.1904,2.034435,-0.486131,-2.798424,-1.955527,-0.416916,-1.076836,-1.039215,-1.77682,Negative
-1.78623,-2.591446,-0.16899,-1.604938,-2.85532,-6.174773,3.329444,-0.668529,-1.147864,-1.838833,1.493031,1.764195,Negative
1.702513,3.699236,-1.198698,-1.835142,-4.044626,-1.886762,-0.300047,1.044354,0.986692,1.024624,0.348349,-0.589177,Positive
0.374205,1.197833,1.063657,1.779016,0.605249,2.363578,1.746867,0.895075,0.752627,-0.569194,0.902548,0.550706,Negative
-7.055691,-5.406602,5.693158,3.817314,-1.555511,1.34267,-0.386331,0.194326,-0.013255,-0.006442,-0.397003,0.711562,Positive
-0.119378,3.799622,-1.731863,-0.759648,1.692869,2.051921,-2.19651,1.351687,-1.89515,-0.425447,0.562466,0.698636,Positive
1.156534,2.313791,0.697408,-2.166635,-3.299064,1.487186,-1.53721,0.127283,-0.404018,0.636642,1.968959,0.094579,Positive
